country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,71.7k,71.5k,41.8k,52.5k,18.8k,10.7k,14.3k,18.1k,16.1k,14.4k,4330,23.1k,,,,,,1290,3080,3310,7110,10.1k,13.8k,13.8k,18.4k,21.8k,25.5k,28.8k
Angola,10.1k,7500,7910,6630,10.2k,8650,9360,8510,8180,9590,10.3k,11.1k,11.3k,8270,7160,5140,15.4k,15.1k,14.3k,14.2k,16.1k,21.7k,30k,36.1k,35.4k,37.2k,50.4k,41.3k
Anguilla,0,0,4,0,0,1,0,0,0,0,0,0,0,,,2,,0,,,,0,0,0,0,,0,0
Albania,1050,954,978,891,975,916,989,915,759,695,653,628,,,707,641,738,655,694,733,604,555,594,543,547,506,469,438
Andorra,,,,,,,,,,12,23,24,21,15,24,,17,19,8,10,12,10,5,10,7,10,12,5
Netherlands Antilles,,,,,,,,,,,,,,,,,5,14,7,4,5,9,15,9,11,,5,
UAE,522,638,597,507,534,568,464,818,339,308,285,234,227,,426,,507,,773,66,115,74,90,117,92,103,90,97
Argentina,16.4k,16.7k,17.3k,17.3k,16.4k,16k,14.7k,13.4k,13.3k,12.6k,12.3k,12.2k,12.6k,13.9k,13.7k,13.4k,13.4k,12.6k,12.3k,11.9k,11.8k,11.5k,11.6k,10.7k,10.6k,9770,9410,9760
Armenia,756,924,759,702,774,768,832,766,651,649,590,741,235,590,753,1160,928,1030,1460,1490,1330,1390,1430,1540,1660,2210,1770,1680
American Samoa,2,6,6,8,12,5,8,9,13,5,9,3,1,4,4,,0,6,3,4,3,3,2,3,5,6,4,3
Antigua and Barbuda,8,3,0,1,3,2,7,0,3,3,1,0,6,,,0,3,4,4,3,4,1,4,1,,6,4,2
Australia,1460,1390,1270,1220,1300,1090,906,907,954,952,1020,950,1010,991,1060,1070,,1150,899,1070,1040,980,1010,949,1060,1050,1160,1120
